Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*
17-Nov-2020 00,2.66,2.65,3.20,2.41,2.73,3.00
17-Nov-2020 01,2.63,2.69,3.16,2.58,2.76,2.99
17-Nov-2020 02,2.67,2.66,3.05,2.56,2.73,2.97
17-Nov-2020 03,2.62,2.65,3.20,2.56,2.76,2.95
17-Nov-2020 04,2.67,2.66,3.10,2.52,2.74,2.94
17-Nov-2020 05,2.67,2.68,3.07,2.64,2.76,2.93
17-Nov-2020 06,2.69,2.67,2.93,2.66,2.74,2.93
17-Nov-2020 07,2.69,2.68,3.06,2.65,2.77,2.92
17-Nov-2020 08,2.72,2.70,2.95,2.63,2.75,2.92
17-Nov-2020 09,2.69,2.69,2.90,2.76,2.76,2.92
17-Nov-2020 10,2.74,2.68,2.87,2.69,2.74,2.93
17-Nov-2020 11,2.68,2.71,3.00,2.70,2.77,2.93
17-Nov-2020 12,2.73,2.69,2.80,2.73,2.74,2.95
17-Nov-2020 13,2.71,2.68,2.92,2.74,2.76,2.95
17-Nov-2020 14,2.72,2.70,2.95,2.64,2.75,2.94
17-Nov-2020 15,2.70,2.69,2.90,2.75,2.76,2.94
17-Nov-2020 16,2.73,2.67,2.83,2.73,2.74,2.93
17-Nov-2020 17,2.71,2.69,2.96,2.71,2.77,2.91
17-Nov-2020 18,2.74,2.69,2.80,2.73,2.74,2.93
17-Nov-2020 19,2.73,2.67,2.84,2.77,2.75,2.95
17-Nov-2020 20,2.74,2.68,2.88,2.69,2.75,2.96
17-Nov-2020 21,2.73,2.67,2.85,2.74,2.75,2.98
17-Nov-2020 22,2.73,2.65,2.79,2.75,2.73,2.99
17-Nov-2020 23,2.73,2.65,2.89,2.71,2.74,3.00
